Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keteragan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter)
Kabaena Selatan,Bombana,Nikel Pongkalaero 1,2.804.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pongkalaero 1,Sulawesi Tenggara,Operasi Produksi,590000,7730.8,"Blok 2, Blok 3 dan Blok 5 (limonit dan saprolit","PT Tekonindo, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1622,121.9091,-5.3739,IUP,"Kec Kabaena Barat, Kab Bombana",531.3,"April 22, 1930","Juli 31, 2019",16784.116,2068.697,53778.172
Kabaena Barat,Bombana,Nikel Rahampuu,2.180.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Rahampuu,Sulawesi Tenggara,Operasi Produksi,1066200,13.619.487,"Kadar Ni 1,66% - 1,82%","PT Timah Investasi Mineral, Laporan RKAB Tahun 2022",1530,121.8258,-5.2584,IUP,"Kec. Kabaena, Kab. Bombana",300,"Maret 31, 2029","April 1, 2019",3466.742,91.150,44098.609
Langgikima,Konawe Utara,Nikel Lamonae 4,2.558.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lamonae 4,Sulawesi Tenggara,Operasi Produksi,0,0,"Blok I, Blok II dan Blok IV, kadar Ni 1,45% s.d. 1,8%","PT Tiran Indonesia, Laporan RKAB Tahun 2022",1580,122.2874,-3.2131,IUP,"Kec. Langgikima, Konawe Utara",1411.35,"Juli 30, 2033","Juli 30, 2013",46857.317,1706.739,18252.616
Kabaena Timur,Bombana,Nikel Lengora,2.522.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lengora,Sulawesi Tenggara,Eksplorasi,0,0,"OB (Ni 0,92%), Limonit (NI 1,4%), Saprolit (1,69%)","PT Tonia Mitra Sejahtera, Laporan RKAB Tahun 2020",1544,122.042,-5.206,IUP,"Kecamatan Kabaena Timur dan Kabaena Tengah, Kabupaten Bombana, Provinsi Sulawesi Tenggara",5891,"Agustus 3, 2033","Agustus 3, 2023",,,
Kabaena Barat,Bombana,Nikel Baliara,1.422.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Baliara,Sulawesi Tenggara,Operasi Produksi,3500000,45325,"Kadar Ni 0,9% s.d. 1,8%","PT Trias Jaya Agung, Laporan RKAB Tahun 2020",1431,121.839,-5.246,IUP,"Desa Rahampuu, Kelurahan Teomokole, Kecamatan Kabaena",512,"Desember 7, 2030","Desember 8, 2020",5233.338,986.698,42258.658
Molawe,Konawe Utara,Nikel Morombo,2.147.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Morombo,Sulawesi Tenggara,Operasi Produksi,1710000,20468.7,"Blok B, kadar Ni 1,72% dan 1,71%","PT Tristaco Mineral Makmur, Laporan RKAB Tahun 2020",1496,122.274,-3.37,IUP,Kec. Lasolo,138.9,"Agustus 29, 2032","Agustus 29, 2012",63353.639,44.575,35508.529
Pomalaa,Kolaka,Nikel Pomalaa HPAL,305.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok 1 Pomalaa HPAL,Sulawesi Tenggara,Eksplorasi,0,0,Limonit-Saprolit (wmt),"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1317,121.668,-4.227,IUPK,"Blok Pomala, Kab. Kolaka dan Kab. Kolaka Timur",20286,"Desember 28, 2035","Mei 3, 2024",,,
Baula,Kolaka,Nikel Blok 2 Pomalaa HPAL,2.137.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok 2 Pomalaa HPAL,Sulawesi Tenggara,Eksplorasi,0,0,-,"PT Vale, Revisi Laporan Studi Kelayakan HPAL Pomalaa",1486,121.703,-4.196,IUPK,"Blok Pomala, Kab. Kolaka dan Kab. Kolaka Timur",20286,"Desember 28, 2035","Mei 3, 2024",,,
Pomalaa,Kolaka,Nikel Blok 3 Pomalaa HPAL,2.138.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok 3 Pomalaa HPAL,Sulawesi Tenggara,Eksplorasi,0,0,Limonit dan Saprolit (wmt),"PT Vale, Revisi Laporan Studi Kelayakan HPAL Pomalaa",1487,121.719,-4.239,IUPK,"Blok Pomala, Kab. Kolaka dan Kab. Kolaka Timur",20286,"Desember 28, 2035","Mei 3, 2024",,,
Pomalaa,Kolaka,Nikel Blok 4 Pomalaa HPAL,2.139.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok 4 Pomalaa HPAL,Sulawesi Tenggara,Eksplorasi,0,0,Limonit dan Saprolit (wmt),"PT Vale, Revisi Laporan Studi Kelayakan HPAL Pomalaa",1488,121.685,-4.271,IUPK,"Blok Pomala, Kab. Kolaka dan Kab. Kolaka Timur",20286,"Desember 28, 2035","Mei 3, 2024",,,
Pomalaa,Kolaka,Nikel Blok 5 Pomalaa HPAL,2.140.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok 5 Pomalaa HPAL,Sulawesi Tenggara,Eksplorasi,0,0,Limonit dan Saprolit (wmt),"PT Vale, Revisi Laporan Studi Kelayakan HPAL Pomalaa",1489,121.651,-4.215,IUPK,"Blok Pomala, Kab. Kolaka dan Kab. Kolaka Timur",20286,"Desember 28, 2035","Mei 3, 2024",,,
Wolo,Kolaka,Nikel Blok Tanjung Baja,2.564.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Tanjung Baja,Sulawesi Tenggara,Operasi Produksi,2016609,254.092.734,"Kadar Ni 1,5% - 2,3%","PT Waja Inti Lestari, Laporan RKAB Tahun 2020",1586,121.281,-3.862,IUP,"Wolo, Kolaka",210.3,"Juli 26, 2030","Juli 27, 2020",36998.334,1163.375,2109.182
Lasolo Kepulauan,Konawe Utara,Nikel Blok WSM 1-7,2.946.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok WSM 1-7,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Wanggudu Sumber Mineral, Laporan RKAB Tahun 2022",1666,122.353,-3.414,IUP,Lasolo,203,"Maret 30, 2032","November 6, 2017",66562.360,3593.313,41397.682
Laeya,Konawe Selatan,Nikel Torobulu,310.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Torobulu,Sulawesi Tenggara,Operasi Produksi,30190592,3.523.148.846,"Blok A, Blok B, Blok C","PT Wijaya Inti Nusantara, Laporan RKAB Tahun 2020",1321,122.459,-4.424,IUP,"Desa Torobulu, Kec. Laeya, Konawe Selatan",1931,"November 28, 2029","November 29, 2019",2538.236,674.854,11893.455
Obi,Halmahera Selatan,Nikel Baru,306.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Baru,Maluku Utara,Explorasi Rinci,0,0,"HFL, Limonit, dan Saprolit","PT Jikodolong Megah Pertiwi, Persetujuan dan Evaluasi Laporan RKAB Tahun 2021",1318,127.527,-1.431,IUP,"Desa Baru Kec. Obi, Kab. Halmahera Selatan",1884.84,"April 6, 2029","Januari 14, 2019",17467.497,1002.208,10790.880
Obi selatan ,Halmahera Selatan,Nikel Malamala Selatan,353.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Malamala Selatan,Maluku Utara,Operasi Produksi,20000000,194390,Iron Cap-Limonit-Saprolit,"PT Rimba Kurnia Alam, Laporan RKAB Tahun 2021 (SDC Tahun 2021)",1345,127.601,-1.659,IUP,"Pulau Malamala, Desa Kawasi, Kec. Obi, Kab. Halmahera Selatan",1800,"Januari 28, 2030","Mei 29, 2017",25221.569,2630.500,23838.423
Obi,Halmahera Selatan,Nikel Kawasi,355.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Kawasi,Maluku Utara,Operasi Produksi,12500000,110670,"Iron Cap-Limonit-Saprolit, Low Grade High Ferro Ore, Medium Grade Ore","PT Wanatiara Persada, Laporan RKAB Tahun 2022",1346,127.412,-1.586,IUP,Desa Kawasi Kecamatan Obi Kabupaten Halmahera Selatan,1725.54,"April 29, 2031","Juni 2, 2017",4020.767,728.525,5502.494
Obi,Halmahera Selatan,Nikel Baru 1,1.434.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Baru 1,Maluku Utara,Operasi Produksi,3917000,44268.14,"Laterit A, Laterit B, dan Laterit C","PT Obi Putra Mandiri (23 Tahun 2011), Laporan RKAB Tahun 2021",1443,127.499,-1.486,IUP,"Desa Baru Dusun Tabuji-Jikodolong DSK, Kec. Obi, Kab. Halmahera Selatan",4058,"Februari 10, 2031","Februari 25, 2011",13060.682,701.059,7792.103
Obi,Halmahera Selatan,Nikel Laiwui,1.435.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Laiwui,Maluku Utara,Operasi Produksi,0,0,"OB, limonit dan saprolit","PT Obi Anugerah Mineral, Persetujuan dan Evaluasi Laporan RKAB Tahun 2021",1444,127.616,-1.39,IUP,Desa Baru (Loji) Kec. Obi Kab. Halmahera Selatan,1775.4,"April 5, 2029","Januari 14, 2019",7000.922,3459.257,21634.222
Obi,Halmahera Selatan,Nikel Kawasi 1,1.949.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Kawasi 1,Maluku Utara,Operasi Produksi,24100000,238140,"OB, limonit dan saprolit, kadar Ni 0,9% s.d. 1,77%","PT Trimegah Bangun Persada, Laporan RKAB Tahun 2022",1481,128.16,0.542,IUP,"Desa Kawasi, Kec. Obi, Kab. Halmahera Selatan",4247,"Februari 8, 2030","Februari 8, 2010",33430.916,2126.760,19801.427
Obi,Halmahera Selatan,Nikel Loji,2.185.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Loji,Maluku Utara,Operasi Produksi,4900000,54887,"Laterit (COG 1,2% Ni), kadar 0,14% Co","PT Gane Permai Sentosa, laporan RKAB Tahun 2020",1535,127.4415,-1.5774,IUP,Desa Kawasi Kec. Obi Kab. Halmahera Selatan,1276.99,"April 5, 2029","September 14, 2020",5332.907,621.258,4806.907
Obi,Halmahera Selatan,Nikel Baru 2,2.186.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Baru 2,Maluku Utara,Operasi Produksi,8070150,98859.3375,"Laterit (COG 1,2% Ni), kadar 0, 14% Co","PT Halim Pratama, Laporan RKAB Tahun 2020 (Tabulasi DInas ESDM Provinsi)",1536,127.5406,-1.4716,IUP,"Desa Jikodolong, Kec. Obi, Halmahera Selatan",1317,"Juni 15, 2036","Juni 15, 2016",17841.130,3337.786,11918.403
Obi,Halmahera Selatan,Nikel Baru 3,2.187.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Baru 3,Maluku Utara,Operasi Produksi,12800000,161280,"Blok A (kadar Ni 1,55%), Blok B (kadar Ni 1,65%) dan Blok C (kadar Ni 1,75%)","PT Intim Mining Sentosa, Laporan RKAB Tahun 2020 (Tabulasi DInas ESDM Provinsi)",1537,127.5586,-1.4411,IUP,Desa Baru Kecamatan Obi Kabupaten Halmahera Selatan,1935,"Maret 6, 2033","Maret 6, 2013",15483.989,2466.995,13989.250
Obi Selatan,Halmahera Selatan,Nikel Fluk,2.193.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Fluk,Maluku Utara,Operasi Produksi,0,0,-,"PT Gane Tambang Sentosa, Laporan Akhir Eksplorasi Tahun 2017",1543,127.742,-1.621,IUP,Kecamatan Obi Selatan,2314,"Desember 4, 2040","Desember 4, 2020",32368.129,2055.225,36576.143
Obi,Halmahera Selatan,Nikela Malamala Utara,2.840.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Malamala Utara,Maluku Utara,Operasi Produksi,8800000,78400,"Ironcap, limonit, saprolit A dan saprolit B, kadar Ni 1%-1,9%","PT Rimba Kurnia Alam, Laporan RKAB Tahun 2021 (SDC Tahun 2021)",1637,127.389,-1.5083,IUP,"Pulau Malamala, Desa Kawasi, Kec. Obi, Kab. Halmahera Selatan",1800,"Januari 28, 2030","Mei 29, 2017",4944.751,120.486,4430.823
Weda Tengah,Halmahera Tengah,Nikel Sake Barat,348.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Sake Barat,Maluku Utara,Operasi Produksi,1995000,24299.1,-,"PT Weda Bay Nikel, Laporan RKAB Tahun 2022",1341,127.962,0.493,IUP,"Halmahera Tengah, Halmahera timur",45065,"Februari 27, 2048","Desember 30, 2019",20790.004,1212.120,3923.922
Weda Tengah,Halmahera Tengah,Nikel Blok Sagantel dan Sakaulen,1.203.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Sagantel dan Sakaulen,Maluku Utara,Operasi Produksi,12203665,160117.4813,"Kadar Ni 0,6%-2,6%","PT Tekindo Energi, Persetujuan dan Evaluasi Laporan RKAB Tahun 2021",1379,127.955,0.584,IUP,Desa Lelilef Kec Weda Kab Halmahera Tengah,1000,"Desember 21, 2029","Mei 30, 2012",29803.660,2510.490,12505.542
Weda Utara,Halmahera Tengah,Nikel Messa,1.204.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Messa,Maluku Utara,Operasi Produksi,1042000,11706.87,Limonit-Saprolit,"PT Bakti Pertiwi Nusantara, Laportan RKAB Tahun 2022",1380,128.16,0.542,IUP,Desa Fritu Kec Weda Utara Kab Halmahera Tengah,1232,"Mei 10, 2038","Mei 28, 2012",33430.916,1913.011,19801.427
Weda Utara,Halmahera Tengah,Nikel Fritu 1,1.429.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Fritu 1,Maluku Utara,Operasi Produksi,4532300,53956.602,Limonit-Saprolit,"PT Harum Sukses Mining (SK Bupati Halmahera Tengah No.540/KEP/328/2009, Tahun 2009), Laporan RKAB Tahun 2021",1438,128.16,0.542,IUP,Desa Fritu Kec Weda Utara Kab Halmahera Tengah,511,"Desember 28,2029","Mei 28, 2012",33430.916,2126.760,19801.427
Weda Utara,Halmahera Tengah,Nikel Waleh,1.430.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Waleh,Maluku Utara,Explorasi,0,0,-,"PT Putra Prima Sejahtera, 2013",1439,128.079,0.564,IUP,"Desa Sagea, Kec Weda Utara, Kab. Halmahera Tengah",1100,"Januari 27, 2034","Januri 27, 2014",34727.231,9118.077,13430.370
Pulau Gede,Halmahera Tengah,Nikel Umera (Pulau Gebe),1.432.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Umera (Pulau Gebe),Maluku Utara,Operasi Produksi,1291328,16108.13904,"Kadar Ni 1,5%-1,8%","PT Bartra Putra Mulia, Laporan RKAB Tahun 2022",1441,129.551,-0.186,IUP,Kec.Pulau Debe Kab Halmahera tengah,1850,"Januari 27, 2032","Januari 29, 2013",14502.679,1668.647,1589.938
Pulau Gede,Halmahera Tengah,Nikel Umera 1,2.181.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Umera 1,Maluku Utara,Operasi Produksi,4764000,57289.33,"Blok 2A, Blok 2B, Blok 2C, Blok 3A, Blok 3B, Blok 5, dan Blok 6","PT Anugerah Sukses Mining (SK Bupati Halmahera Tengah No 540/KEP/315/2013), Laporan RKAB Tahun 2022",1531,129.5202,-0.1768,IUP,"Desa Umera, Kec. Pulau Gebe, Kab. Halmahera Tengah",503,"Agustus 23, 2033","Agustus 23, 2013",11184.059,250.440,5148.045
Pulau Gede,Halmahera Tengah,Nikel Kacepi,2.184.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Kacepi,Maluku Utara,Operasi Produksi,0,0,-,"PT Elsaday Mulia, Laporan RKAB Tahun 2018",1534,129.484,-0.1329,IUP,Pulau Gebe,483,"April 29, 2033","April 29, 2013",5034.909,366.381,11055.956
Weda Tengah,Halmahera Tengah,Nikel Sawai,2.190.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Sawai,Maluku Utara,Operasi Produksi,6125000,0,Tidak ada data kadar Ni,"PT Halmahera Sukses Mineral, Laporan RKAB Tahun 2021",1540,128.009,0.62,IUP,Weda Kec. Wasile Selatan Kab.,7726,"Desember 15, 2030","November 20, 2016",35699.793,6851.901,15802.267
Pulau Gede,Halmahera Tengah,Nikel Ubulie Utara,2.550.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Ubulie Utara,Maluku Utara,Operasi Produksi,0,0,"Limonit-Saprolit (Blok A, B, C, D, E)","PT Mineral Trobos, Persetujuan dan Evaluasi Laporan RKAB Tahun 2021",1572,129.388,-0.042,IUP,Pulau Gebe,315,"Februari 1, 2038","Mei 26, 2023",9810.832,128.476,2928.323
Weda,Halmahera Tengah,Nikel Sepoh,2.802.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Sepoh,Maluku Utara,Operasi Produksi,0,0,"Kadar Ni 1,44%-1,6%","PT First Pasific Mining, Laporan RKAB Tahun 2020 (tabulasi Ditjen Minerba)",1620,128.0476,0.5249,IUP,"Desa Sagea, Kec. Weda Utara, Halmahera Tengah",2080,"Oktober 10, 2032","Juni 4, 2018",29171.879,4404.659,7920.910
Weda Utara,Halmahera Tengah,Nikel Sagea,2.841.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Sagea,Maluku Utara,Operasi Produksi,0,0,"Blok 1, Blok 2, Blok 3, dan Blok 4","PT Zhong Hai Rare Metal Mining Indonesia, Laporan RKAB Tahun 2020",1638,128.081,0.5449,IUP,Desa Sagea Kec Weda Utara Kab Halmahera Tengah,688,"Desember 21, 2029","Juni 4, 2018",33315.837,6205.768,12202.016
Weda Utara,Halmahera Tengah,Nikel Sagea 1,2.842.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Sagea 1,Maluku Utara,Operasi Produksi,0,0,-,"PT Zhong Hai Rare Metal Mining Indonesia, Laporan RKAB Tahun 2020",1639,128.081,0.5499,IUP,Desa Sagea Kec Weda Utara Kab Halmahera Tengah,688,"Desember 21, 2029","Juni 4, 2018",33717.833,6757.509,12545.384
Maba,Halmahera Timur,Nikel Pakaulan,303.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pakaulan,Maluku Utara,Operasi Produksi,0,0,"Blok Pakaulan Barat, Blok 1 Pakaulan Timur, Blok 2 Pakaulan Timur, Blok 3 Pakaulan Timur (Saprolit dan limonit)","PT Antam, Annual Report Tahun 2020",1316,128.409,0.948,IUP,"Kec. Maba, Kab. Halmahera Timur",3648,"September 20, 2030","September 30, 2022",21339.971,1059.988,19769.438
Wasile,Halmahera Timur,Nikel Wasile,312.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wasile,Maluku Utara,Operasi Produksi,1400000,15365,"Blok Wasile I, Wasile II","PT Wana Kencana Mineral, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1323,128.08,1.113,IUP,"Kec Wasile Selatan, Kab Halmahera Timur. Kec Weda, Kab Halmahera Tengah",24700,"Mei 9, 2036","Mei 9, 2016",37372.673,331.391,35087.919
Maba,Halmahera Timur,Nikel Tanjung Buli,325.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tanjung Buli,Maluku Utara,Operasi Produksi,9940000,127137,Limonit-Saprolit (wmt),"PT Antam, Annual Report Tahun 2021",1330,128.286,0.832,IUP,"Kec. Maba, Kab. Halmahera Timur",3648,"September 20, 2030","September 30, 2022",3006.055,219.244,3238.070
Maba,Halmahera Timur,Nikel Pulau Gee,327.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pulau Gee,Maluku Utara,Operasi Produksi,1500000,31500,"Saprolit (wmt), Limonit","PT Antam, Annual Report 2006",1331,128.328,0.83,IUP,"Kec. Maba, Kab. Halmahera Timur",3648,"September 20, 2030","September 30, 2022",7641.558,100.821,7646.274
Kotamaba,Halmahera Timur,Nikel Pulau Pakal,328.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pulau Pakal,Maluku Utara,Operasi Produksi,13160000,181789.3,Limonit-Saprolit,"PT Antam, Annual Report Tahun 2021",1332,128.34,0.786,IUP,"Kec. Maba, Kab. Halmahera Timur",3648,"September 20, 2030","September 30, 2022",10066.887,637.293,11095.497
Wasile,Halmahera Timur,Nikel Fayaul,1.425.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Fayaul,Maluku Utara,Operasi Produksi,2045401,26188.20512,Saprolit,PT Jaya Abadi Semesta. Persetujuan dan Evaluasi Laporan RKAB Tahun 2021,1434,128.1435,1.023,IUP,KEC. WASILE DAN MABA KAB. HALMAHERA TIMUR,"1.826,00","September 10, 2032","September 10, 2012",25192.895,3077.035,22907.629
Wasile,Halmahera Timur,Nikel Saramaake,1.426.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Saramaake,Maluku Utara,Explorasi,0,0,Saprolit,"PT Jaya Abadi Semesta, Tahun 2015",1435,128.1037,0.9828,IUP,KEC. WASILE DAN MABA KAB. HALMAHERA TIMUR,"1.826,00","September 10, 2032","September 10, 2012",24412.793,6495.377,22203.768
Kotamaba,Halmahera Timur,Nikel Wailukum,1.427.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wailukum,Maluku Utara,Operasi Produksi,53956.602,0,-,"PT Alngit Raya, 2013",1436,128.206,0.775,IUP,"Desa Wailukum, Kec.Kota Maba, Kab. Halmahera Timur",137.1,"Januari 23, 2032","Agustus 2, 2012",8292.971,121.625,9088.818
Kotamaba,Halmahera Timur,Nikel Fritu,1.428.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Fritu,Maluku Utara,Operasi Produksi,4532300,53956.602,Limonit-Saprolit,"PT Harum Sukses Mining, Laporan RKAB Tahun 2021",1437,128.152,0.599,IUP,Desa Fritu Kec Weda Utara Kab Halmahera Tengah,990,"Desember 28, 2030","Desember 28, 2009",27931.772,3609.919,22113.934
Wasile,Halmahera Timur,Nikel Subaim,1.600.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Subaim,Maluku Utara,Operasi Produksi,11800000,131880,"Blok Meja River 1, Meja River 2, dan Oviang","PT Indo Bumi Nikel, Laporan RKAB Tahun 2021",1451,128.197,1.021,IUP,Kec. Wasile dan Wasile Timur Kab Halmahera Timur,2117,"Desember 7, 2029","Desember 7, 2009",22516.268,3101.367,20297.227
Kotamaba,Halmahera Timur,Nikel Wailukum 1,1.936.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wailukum 1,Maluku Utara,Operasi Produksi,66560001,817647.0523,Limonit-Saprolit (Blok Mana I-III),"PT Position, Laporan RKAB Tahun 2019",1468,128.16,0.542,IUP,Kec. Maba Kota Kb. Halmahera Timur,4017,"Desember 12, 2037","Desember 12, 2017",33430.916,2126.760,19801.427
Kotamaba,Halmahera Timur,Nikel Weda,2.189.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Weda,Maluku Utara,Operasi Produksi,29466400,337308.5275,"Utara, Tengah, Selatan","PT Wana Kencana Mineral, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1539,128.106,0.795,IUP,"Kec Wasile Selatan, Kab Halmahera Timur. Kec Weda, Kab Halmahera Tengah",24700,"Mei 9, 2036","Mei 9, 2016",17444.246,6350.331,16828.893
Wasile Selatan,Halmahera Timur,Nikel Wasile 2,2.191.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wasile 2,Maluku Utara,Operasi Produksi,8225000,97877.5,"Kadar Ni 1,7%","PT Mega Haltim Mineral, Laporan RKAB Tahun 2021",1541,127.925,0.731,IUP,Weda Kec. Wasile Selatan Kab.,13510,"November 9, 2030","November 9, 2016",38714.987,56.244,29018.244
Wasile,Halmahera Timur,Nikel Batu Raja,2.552.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Batu Raja,Maluku Utara,Operasi Produksi,1410000,18204.2,"Lapisan OB, limonit dan saprolit, kadar Ni 0.9% s.d. 3,17%","PT Alam Raya Abadi, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1574,128.144,1.048,IUP,Kec. Wasile,924,"Oktober 29, 2027","Juni 18, 2020",27577.679,2010.592,25296.576
Kota Maba,Halmahera Timur,Nikel Soa Gimalaha,2.798.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Soa Gimalaha,Maluku Utara,Operasi Produksi,6875654,0,Saprolit dan limonit,"PT Adhita Nikel Indonesia, Laporan RKAB Tahun 2021",1616,128.2816,0.6194,IUP,"Desa Soagimalaha Kec Kota Maba, Kab. Halmahera Timur",2000,"Maret 10, 2031","Maret 10, 2011",23120.860,3004.079,25211.357
Kota Maba,Halmahera Timur,Nikel Wailukum 2,2.817.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wailukum 2,Maluku Utara,Operasi Produksi,0,0,"Blok Barat kadar Ni 1,6%","PT Haltim Mining, Persetujuan dan Evaluasi Laporan RKAB Tahun 2021",1635,128.231,0.7376,IUP,Desa Wailukum Kec.Maba Kota Kab Halmahera Timur,122.7,"Agustus 18, 2031","Oktober 19, 2011",10410.107,521.138,12039.842
Maba,Halmahera Timur,Nikel Buli Karya,2.818.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Buli Karya,Maluku Utara,Operasi Produksi,18000000,224784,Limonit-saprolit,"PT Priven Lestari, Laporan RKAB Tahun 2021",1636,128.181,0.9004,IUP,Kec. Maba dan Maba Kota Kab. Halmahera timur,4953,"Juli 17, 2037","Juli 17, 2018",11894.788,8175.220,9719.919
Maba Kota,Halmahera Timur,Nikel Mabapura,2.853.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Mabapura,Maluku Utara,Operasi Produksi,0,0,"Kadar Ni 1,79%","PT Makmur Jaya Lestari, Persetujuan dan Evaluasi Laporan RKAB Tahun 2021",1650,128.205,0.8112,IUP,Desa Maba Kota Kab. Halmahera Timur,394.1,"Oktober 29, 2028","Oktober 29, 2009",6311.443,96.732,6143.022
Kota Maba,"Halmahera Timur, Halmahera Tengah",Nikel Maba Sangaji,2.852.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Maba Sangaji,Maluku Utara,Operasi Produksi,0,0,Blok A-Blok F,"PT Wana Halmahera Barat, Persetujuan dan Evaluasi Laporan RKAB Tahun 2021",1649,128.077,0.713,IUP,"Kec Weda, Wasile Selatan Kab. Halmahera Tengah",3986,"Agustus 30, 2038","Agustus 30, 2018",23915.298,7953.800,24056.697
Seram Barat,Seram Bagian Barat,Nikel Piru,1.438.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Piru,Maluku,Operasi Produksi,24125130,379348.1853,-,"PT Manusela Prima Mining (545-236.a Tahun 2009), Laporan RKAB Tahun 2021",1446,128.099,-3.111,IUP,DESA PIRU KEC. SERAM BARAT KAB,4389,"Oktober 15, 2029","Oktober 15, 2009",97056.749,458.016,189482.436
